ServerName,Username,Password,Privileges,,,
,,,,,,
#Configure iLO accounts,,,,,,
# Use this sheet to define iLO Accounts  to be created through OneView.  ,,,,,,
# If the row starts with '#' it will be ignored by the script,,,,,,
# For specific settings - read the comments on the first cell in the column for possible values,,,,,,
#,,,,,,
,,,,,,
,,,,,,
#"Rack1Bot, Bay 9",BigGuy,P@ssword1, RemoteConsolePriv|iLOConfigPriv|VirtualMediaPriv|UserConfigPriv|VirtualPowerAndResetPriv,,,
,,,,,,
"Rack1Bot, Bay 3",VirtMGuy3,P@ssword1,VirtualMediaPriv,,,
,,,,,,
"Rack1Bot, Bay 3",UserConfigGuy3,P@ssword1, UserConfigPriv,,,
,,,,,,
"Rack1Bot, Bay 3",VPGuy3,P@ssword1,VirtualPowerAndResetPriv,,,
,,,,,,
"Rack1Bot, Bay 3",All Guy3,P@ssword1,All,,,
